Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Calais Regional Hospital,"Net Property, Plant and Equipment",,18467662,18547418,18125433,17424865
Calais Regional Hospital,Total Unrestricted Assets,27631691,28742645,27987632,25848566,25910016
Calais Regional Hospital,Total Current Liabilities,3527828,5123745,6994870,7352883,6909743
Calais Regional Hospital,Current Long Term Debt,,376000,411000,552935,654859
Calais Regional Hospital,Accounts Payable and Accrued Expenses,3095572,3517341,3540062,4470321,3636448
Calais Regional Hospital,Estimated Third Party Settlements,,1125397,2246078,1610161,1146336
Calais Regional Hospital,Due to Affiliates,,,,,
Calais Regional Hospital,Other Current Liabilities,56256,70007,655795,617542,1457212
Calais Regional Hospital,Total Non-current Liabilities,16881778,17059743,17125053,16731951,19835752
Calais Regional Hospital,Long Term Debt,16881778,17059743,17125053,16731951,16122974
Calais Regional Hospital,Estimated Third Party Settlements,,,,,3712778
Calais Regional Hospital,Due to Affiliates,,,,,
Calais Regional Hospital,Self Insurance Fund,,,,,
Calais Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Calais Regional Hospital,Other Non-Current Liabilities,,,,,
Calais Regional Hospital,Fund Balance Unrestricted,7222085,6559157,3867709,1763732,-835479
Calais Regional Hospital,Total Liabilities & Equity,27631691,28742645,27987632,25848566,25910016
Calais Regional Hospital,Total Restricted Assets,1293685,920887,1409166,1576867,1617087
Calais Regional Hospital,Cash and Investments,1289403,918133,1406412,1576867,1617087
Calais Regional Hospital,Receivables,4282,2754,2754,,
Calais Regional Hospital,Other Assets,,,,,
Calais Regional Hospital,Total Restricted Liabilities and Equity,1293685,1250510,1409166,1576867,1617087
Calais Regional Hospital,Total Restricted Fund Balance,1293685,1250510,1409166,1576867,1617087
Calais Regional Hospital,Total Liabilities,,,,,
Calais Regional Hospital,Temporarily Restricted Net Assets,788279,792626,927460,1064380,1115463
Calais Regional Hospital,Permanently Restricted Net Assets,505406,457884,481706,512487,501624
Calais Regional Hospital,Total Gross Patient Service Revenue,,46900132,56443678,51679698,54558409
Calais Regional Hospital,Gross Inpatient Service Revenue,11875603,16261553,16142143,17911111,16651647
Calais Regional Hospital,Gross Outpatient Service Revenue,35024529,40182125,35537555,36647298,39248514
Calais Regional Hospital,Free Care,,,712067,1066131,929494
Calais Regional Hospital,Bad Debt,,,,,1110497
Calais Regional Hospital,Contractuals,18226853,22495956,19287426,21371685,23965899
Calais Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-116500,64000,,,457000
Calais Regional Hospital,Net Patient Service Revenue,26967215,31756329,30167106,30594640,28517096
Calais Regional Hospital,Other Operating Revenue,163631,894600,1028442,736639,1352614
Calais Regional Hospital,Total Operating Revenue,27130846,32650929,31195548,31331279,29869710
Calais Regional Hospital,Total Operating Expenses,28550660,33374028,33952668,33508053,32562579
Calais Regional Hospital,Depreciation and Amortization,1299642,1357897,1522195,1660722,1609974
Calais Regional Hospital,Interest,896532,914518,965372,954152,987208
Calais Regional Hospital,Advertising Expenses,60751,44135,38859,,65738
Calais Regional Hospital,Allowed Advertising Expenses,23897,18351,7069,,65738
Calais Regional Hospital,Non-Allowed Advertising Expenses,36854,25784,31790,,
Calais Regional Hospital,Salaries and Benefits,14061579,16611727,17542372,17331562,16906624
Calais Regional Hospital,Other Operating Expenses,12232156,14445751,13883870,13561617,12993035
Calais Regional Hospital,Net Operating Income,-1419814,-723099,-2757120,-2176774,-2692869
Calais Regional Hospital,Total Non-operating Revenue,138486,60995,43379,59010,50714
Calais Regional Hospital,Total Investment Income,35358,38222,24052,20352,23729
Calais Regional Hospital,Interest and Dividends,35358,38222,24052,20352,23729
Calais Regional Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Calais Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Calais Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Calais Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Calais Regional Hospital,Other Non-Operating Revenues,,,,103128,22773
Calais Regional Hospital,Excess of Revenue over Expenses,-1281328,-662104,-2713741,-2117764,-2642155
Calais Regional Hospital,Extraordinary Gains/Losses,,,,,
Calais Regional Hospital,Total Surplus/Deficit,-1281328,-662104,-2713741,-2117764,-2642155
Calais Regional Hospital,Total Change in Unrestricted Net Assets,-1067299,-662928,-2691448,-2103977,-2599211
Calais Regional Hospital,Net Assets Released for Restrictions,,,200000,,19872
Calais Regional Hospital,Unrealized Gains/Losses on Investments,14029,-824,2421,4958,1405
Calais Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Calais Regional Hospital,Transfers From/To Affiliates,,,,,
Calais Regional Hospital,Mergers,,,,,
Calais Regional Hospital,Consolidations with Support,,,,,
Calais Regional Hospital,Other Changes,,,,,
Cary Medical Center,Total Current Assets,8816831,14288706,14651936,11294846,13154033
Cary Medical Center,Cash and Investment,585152,2958459,1596988,1885261,3831348
Cary Medical Center,Current Assets Whose Use is Limited,,,,,
Cary Medical Center,Net Patient Accounts Receivable,3982392,4385235,5339593,6197706,6324216
Cary Medical Center,Due from Affiliates,,,,,
Cary Medical Center,Third Party Settlements Receivable,2631997,5279591,5830945,1148316,582211
Cary Medical Center,Other Accounts Receivable,,,,371629,725773
Cary Medical Center,Inventory,,,,,
Cary Medical Center,Other Current Assets,1617290,1665421,1884410,1691934,1690485
Cary Medical Center,Total Non-Current Assets,13456090,15375708,15076952,16470438,16248977
Cary Medical Center,Trustee Held Investments,,,,,
Cary Medical Center,Board Designated and Undesignated Investments,4866999,7420869,5130506,6144633,6424553
Cary Medical Center,Due From Affiliates,130967,144689,139615,,
Cary Medical Center,Investments in Affiliates,,,,,
Cary Medical Center,Other Non-current Assets,424802,380280,371169,,
Cary Medical Center,"Gross Property, Plant and Equipment",,30041634,30630450,33993927,35174558
Cary Medical Center,Accumulated Depreciation,22008312,23200580,24558265,24848753,25943817
Cary Medical Center,"Net Property, Plant and Equipment",,8033322,7429870,9435662,10325805
Cary Medical Center,Total Unrestricted Assets,22272921,29664414,29728888,27765284,29403010
Cary Medical Center,Total Current Liabilities,4879595,8733941,8987281,6919797,7622207
Cary Medical Center,Current Long Term Debt,,794981,422003,622320,1161015
Cary Medical Center,Accounts Payable and Accrued Expenses,3486990,4150240,4541843,3823692,4572583
Cary Medical Center,Estimated Third Party Settlements,,3600578,3495414,1567173,1619598
Cary Medical Center,Due to Affiliates,,,,,
Cary Medical Center,Other Current Liabilities,597624,561120,327704,367917,394523
Cary Medical Center,Total Non-current Liabilities,3182682,2741441,2419220,4343733,3282514
Cary Medical Center,Long Term Debt,2817155,2395152,2092170,4035921,2993940
Cary Medical Center,Estimated Third Party Settlements,,,,,
Cary Medical Center,Due to Affiliates,,,,,
Cary Medical Center,Self Insurance Fund,,,,,
Cary Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
Cary Medical Center,Other Non-Current Liabilities,365527,346289,327050,307812,288574
Cary Medical Center,Fund Balance Unrestricted,14210644,18189032,18322387,16501754,18498289
Cary Medical Center,Total Liabilities & Equity,22272921,29664414,29728888,27765284,29403010
Cary Medical Center,Total Restricted Assets,26040,128280,28163,32304,33604
Cary Medical Center,Cash and Investments,26040,128280,28163,32304,33604
Cary Medical Center,Receivables,,,,,
Cary Medical Center,Other Assets,,,,,
Cary Medical Center,Total Restricted Liabilities and Equity,26040,128280,28163,32304,33604
Cary Medical Center,Total Restricted Fund Balance,26040,128280,28163,32304,33604
Cary Medical Center,Total Liabilities,,,,,
Cary Medical Center,Temporarily Restricted Net Assets,26040,128280,28163,32304,33604
Cary Medical Center,Permanently Restricted Net Assets,,,,,
Cary Medical Center,Total Gross Patient Service Revenue,,87956361,91772077,101642753,101981181
Cary Medical Center,Gross Inpatient Service Revenue,21526893,24384931,28288530,28274774,30565726
Cary Medical Center,Gross Outpatient Service Revenue,66429468,67387146,73354223,73706407,82767568
Cary Medical Center,Free Care,,,1237339,1096668,991464
Cary Medical Center,Bad Debt,,,,,2004000
Cary Medical Center,Contractuals,45692563,45607743,51732359,52936331,59749227
Cary Medical Center,Changes in Prior Year Estimated/Final Settlements,20000,-166000,2103000,127000,-362000
Cary Medical Center,Net Patient Service Revenue,39002459,43268988,44244117,44962946,48848774
Cary Medical Center,Other Operating Revenue,3099778,5199924,5279729,3846373,3983003
Cary Medical Center,Total Operating Revenue,42102237,48468912,49523846,48809319,52831777
Cary Medical Center,Total Operating Expenses,42052923,44512849,50041494,50719808,50912506
Cary Medical Center,Depreciation and Amortization,1693628,1688157,1707584,1819916,1691249
Cary Medical Center,Interest,139070,126461,228431,191361,154733
Cary Medical Center,Advertising Expenses,262645,271290,312488,341734,321169
Cary Medical Center,Allowed Advertising Expenses,14760,12297,11584,14520,14085
Cary Medical Center,Non-Allowed Advertising Expenses,247885,258993,300904,327214,307084
Cary Medical Center,Salaries and Benefits,21636508,22505783,24561885,24447214,24892027
Cary Medical Center,Other Operating Expenses,18321072,19921158,23231106,23919583,23853328
Cary Medical Center,Net Operating Income,49314,3956063,-517648,-1910489,1919271
Cary Medical Center,Total Non-operating Revenue,29899,216071,286579,66822,2192
Cary Medical Center,Total Investment Income,-2348,40028,78191,25549,-33295
Cary Medical Center,Interest and Dividends,-3308,-18227,88253,38631,-14293
Cary Medical Center,Realized Gains/Losses on Sales of Securities,960,58255,-10062,-13082,-19002
Cary Medical Center,Permanently Impaired Security Writedowns,,,,,
Cary Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Cary Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Cary Medical Center,Other Non-Operating Revenues,,,,32247,176043
Cary Medical Center,Excess of Revenue over Expenses,79213,4172134,-231069,-1843667,1921463
Cary Medical Center,Extraordinary Gains/Losses,,,,,
Cary Medical Center,Total Surplus/Deficit,79213,4172134,-231069,-1843667,1921463
Cary Medical Center,Total Change in Unrestricted Net Assets,106091,4085336,38418,-1811859,2001908
Cary Medical Center,Net Assets Released for Restrictions,,,30891,10026,263616
Cary Medical Center,Unrealized Gains/Losses on Investments,-4013,-96824,5871,-68071,-10323
Cary Medical Center,Minimum Pension Liability Adjustment,,,,,
Cary Medical Center,Transfers From/To Affiliates,,,,,
Cary Medical Center,Mergers,,,,,
Cary Medical Center,Consolidations with Support,,,,,
Cary Medical Center,Other Changes,,,,,
Central Maine Medical Center,Total Current Assets,105595088,75903602,69274246,88052797,90576362
Central Maine Medical Center,Cash and Investment,3348579,3727858,5983060,5287028,14547603
Central Maine Medical Center,Current Assets Whose Use is Limited,34043289,10679988,5660225,6031791,6446320
Central Maine Medical Center,Net Patient Accounts Receivable,37175914,36113312,33793183,33598284,55502943
Central Maine Medical Center,Due from Affiliates,72632,107934,5013855,,46533
Central Maine Medical Center,Third Party Settlements Receivable,26403893,19127215,11450936,33286850,2737483
Central Maine Medical Center,Other Accounts Receivable,,,,,
Central Maine Medical Center,Inventory,2963070,2853171,2558455,2180827,2825819
Central Maine Medical Center,Other Current Assets,1587711,3294124,4814532,7668017,8469661
Central Maine Medical Center,Total Non-Current Assets,185932723,188300207,220528943,188404181,183971353
Central Maine Medical Center,Trustee Held Investments,11782143,12731116,14900759,11315245,13355790
Central Maine Medical Center,Board Designated and Undesignated Investments,,,,,
Central Maine Medical Center,Due From Affiliates,,,,,
Central Maine Medical Center,Investments in Affiliates,,,,,
Central Maine Medical Center,Other Non-current Assets,38631015,26986747,49586521,23473071,25616033
Central Maine Medical Center,"Gross Property, Plant and Equipment",,286528102,315645911,339729335,354142598
Central Maine Medical Center,Accumulated Depreciation,151008537,167063567,183687672,200526733,217188080
Central Maine Medical Center,"Net Property, Plant and Equipment",,135519565,148582344,156041663,153615865
Central Maine Medical Center,Total Unrestricted Assets,291527811,264203809,289803189,276456978,274547715
Central Maine Medical Center,Total Current Liabilities,76605033,63843026,85314250,87770981,91648230
Central Maine Medical Center,Current Long Term Debt,,3978967,4286862,5660225,5123296
Central Maine Medical Center,Accounts Payable and Accrued Expenses,34267825,31569834,26457341,26092986,29817369
Central Maine Medical Center,Estimated Third Party Settlements,,,,,
Central Maine Medical Center,Due to Affiliates,,,,17855864,
Central Maine Medical Center,Other Current Liabilities,38358241,27986330,53196684,38698835,55384541
Central Maine Medical Center,Total Non-current Liabilities,137883338,132357372,139726207,135442889,128779380
Central Maine Medical Center,Long Term Debt,129895322,126276774,132335005,126540490,120492896
Central Maine Medical Center,Estimated Third Party Settlements,,,,,
Central Maine Medical Center,Due to Affiliates,,,,,
Central Maine Medical Center,Self Insurance Fund,1570392,2344956,1496884,1578267,1628409
Central Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,4493271,1797473,3967167,5350673,4624007
Central Maine Medical Center,Other Non-Current Liabilities,1924353,1938169,1927151,1973459,2034068
Central Maine Medical Center,Fund Balance Unrestricted,77039440,68003411,64762732,53243108,54120105
Central Maine Medical Center,Total Liabilities & Equity,291527811,264203809,289803189,276456978,274547715
Central Maine Medical Center,Total Restricted Assets,18829145,22830939,23629605,24676097,28126774
Central Maine Medical Center,Cash and Investments,18829145,22829556,23629605,24676097,28126774
Central Maine Medical Center,Receivables,,,,,
Central Maine Medical Center,Other Assets,,1383,,,
Central Maine Medical Center,Total Restricted Liabilities and Equity,18829145,22830939,23629605,24676097,28126774
Central Maine Medical Center,Total Restricted Fund Balance,18823727,22830939,23624770,24671785,28122782
Central Maine Medical Center,Total Liabilities,5418,,4835,4312,3992
Central Maine Medical Center,Temporarily Restricted Net Assets,2476697,5247378,5870574,5898492,8979161
Central Maine Medical Center,Permanently Restricted Net Assets,16347030,17583561,17754196,18773293,19143621
Central Maine Medical Center,Total Gross Patient Service Revenue,,597614776,610832010,639016982,651308553
Central Maine Medical Center,Gross Inpatient Service Revenue,267169965,258482485,265934915,278022402,319684860
