Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Calais Regional Hospital,Total Restricted Fund Balance,1840801,981060,919676,721011,848636
Calais Regional Hospital,Total Liabilities,,,,,
Calais Regional Hospital,Temporarily Restricted Net Assets,1251031,299952,169731,161667,163783
Calais Regional Hospital,Permanently Restricted Net Assets,589770,681108,749945,559344,684853
Calais Regional Hospital,Total Gross Patient Service Revenue,,32171611,35770335,36954152,42302465
Calais Regional Hospital,Gross Inpatient Service Revenue,9425604,10173582,10117292,11737363,10135996
Calais Regional Hospital,Gross Outpatient Service Revenue,22746007,25596753,26836860,30565102,31748947
Calais Regional Hospital,Free Care,,,189305,318103,317937
Calais Regional Hospital,Bad Debt,,,,,619437
Calais Regional Hospital,Contractuals,10864928,10258984,11096932,14211743,13842347
Calais Regional Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
Calais Regional Hospital,Net Patient Service Revenue,20497941,24418591,24786217,26654287,26303379
Calais Regional Hospital,Other Operating Revenue,467308,558839,481274,364776,385038
Calais Regional Hospital,Total Operating Revenue,20965249,24977430,25267491,27019063,26688417
Calais Regional Hospital,Total Operating Expenses,20564436,23992610,25977636,26858195,27055797
Calais Regional Hospital,Depreciation and Amortization,641342,1079797,1475632,1316719,1288903
Calais Regional Hospital,Interest,47600,430311,978255,942959,915616
Calais Regional Hospital,Other Operating Expenses,19875494,22482502,23523749,24598517,24851278
Calais Regional Hospital,Net Operating Income,400813,984820,-710145,160868,-367380
Calais Regional Hospital,Total Non-operating Revenue,51437,23028,52966,75406,116073
Calais Regional Hospital,Total Investment Income,33141,60698,55153,49393,56747
Calais Regional Hospital,Interest and Dividends,33141,60698,55153,49393,56747
Calais Regional Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Calais Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Calais Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,1194,-58160,-32260,-26176,-615
Calais Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Calais Regional Hospital,Other Non-Operating Revenues,,,,17102,20490
Calais Regional Hospital,Excess of Revenue over Expenses,452250,1007848,-657179,236274,-251307
Calais Regional Hospital,Extraordinary Gains/Losses,,,,,
Calais Regional Hospital,Total Surplus/Deficit,452250,1007848,-657179,236274,-251307
Calais Regional Hospital,Total Change in Unrestricted Net Assets,512898,2028090,-523919,253605,-250010
Calais Regional Hospital,Net Assets Released for Restrictions,,,45030,1003656,132600
Calais Regional Hospital,Unrealized Gains/Losses on Investments,15618,16586,660,-1969,1297
Calais Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Calais Regional Hospital,Transfers From/To Affiliates,,,,,
Calais Regional Hospital,Mergers,,,,,
Calais Regional Hospital,Consolidations with Support,,,,,
Calais Regional Hospital,Other Changes,,,,,
Cary Medical Center,Total Current Assets,7803723,8120366,10176905,9611646,7967390
Cary Medical Center,Cash and Investment,477049,162665,233345,1390623,1834652
Cary Medical Center,Current Assets Whose Use is Limited,2506768,3655884,3633647,,
Cary Medical Center,Net Patient Accounts Receivable,1843289,1849131,3098508,3408599,3103681
Cary Medical Center,Due from Affiliates,,,,,
Cary Medical Center,Third Party Settlements Receivable,860582,,1146627,3290468,1414861
Cary Medical Center,Other Accounts Receivable,,,,,
Cary Medical Center,Inventory,,,,,
Cary Medical Center,Other Current Assets,2116035,2452686,2064778,1521956,1614196
Cary Medical Center,Total Non-Current Assets,14819989,14708843,12112731,16053314,15881071
Cary Medical Center,Trustee Held Investments,,,,,
Cary Medical Center,Board Designated and Undesignated Investments,4965725,5343290,2962959,5200086,6137590
Cary Medical Center,Due From Affiliates,127000,154691,130437,105392,162703
Cary Medical Center,Investments in Affiliates,,,,,
Cary Medical Center,Other Non-current Assets,518668,664133,509732,543483,299228
Cary Medical Center,"Gross Property, Plant and Equipment",,28784739,29458159,29987082,31288208
Cary Medical Center,Accumulated Depreciation,19576143,20911430,21477479,21083855,20722989
Cary Medical Center,"Net Property, Plant and Equipment",,9208596,8546729,8509603,10204353
Cary Medical Center,Total Unrestricted Assets,22623712,22829209,22289636,25664960,23848461
Cary Medical Center,Total Current Liabilities,4332499,4858732,4811050,6018759,5733580
Cary Medical Center,Current Long Term Debt,,489130,500364,467919,721596
Cary Medical Center,Accounts Payable and Accrued Expenses,3534127,3839346,3841245,4633282,3936574
Cary Medical Center,Estimated Third Party Settlements,,200335,,,534956
Cary Medical Center,Due to Affiliates,,,,,
Cary Medical Center,Other Current Liabilities,309242,318687,501886,663881,474266
Cary Medical Center,Total Non-current Liabilities,4989446,4440261,3938314,4677098,3996901
Cary Medical Center,Long Term Debt,4483356,3982991,3515072,4273095,3612136
Cary Medical Center,Estimated Third Party Settlements,,,,,
Cary Medical Center,Due to Affiliates,,,,,
Cary Medical Center,Self Insurance Fund,,,,,
Cary Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
Cary Medical Center,Other Non-Current Liabilities,506090,457270,423242,404003,384765
Cary Medical Center,Fund Balance Unrestricted,13301767,13530216,13540272,14969103,14117980
Cary Medical Center,Total Liabilities & Equity,22623712,22829209,22289636,25664960,23848461
Cary Medical Center,Total Restricted Assets,611814,10532,22237,16050,19756
Cary Medical Center,Cash and Investments,611814,10532,22237,16050,19756
Cary Medical Center,Receivables,,,,,
Cary Medical Center,Other Assets,,,,,
Cary Medical Center,Total Restricted Liabilities and Equity,611814,10532,22237,16050,19756
Cary Medical Center,Total Restricted Fund Balance,611814,10532,22237,16050,19756
Cary Medical Center,Total Liabilities,,,,,
Cary Medical Center,Temporarily Restricted Net Assets,611814,10532,22237,16050,19756
Cary Medical Center,Permanently Restricted Net Assets,,,,,
Cary Medical Center,Total Gross Patient Service Revenue,,79806352,82185692,86469363,90183359
Cary Medical Center,Gross Inpatient Service Revenue,29594938,27362385,26895840,28403239,22881424
Cary Medical Center,Gross Outpatient Service Revenue,50211414,54823307,59573523,61780120,63073611
Cary Medical Center,Free Care,,,855290,1034739,1122783
Cary Medical Center,Bad Debt,,,,,1505274
Cary Medical Center,Contractuals,41595083,43389603,45355342,48992229,44417458
Cary Medical Center,Changes in Prior Year Estimated/Final Settlements,,,475000,-4339000,-819000
Cary Medical Center,Net Patient Service Revenue,35850705,37000698,38623803,43304504,40307037
Cary Medical Center,Other Operating Revenue,3478442,3188081,3162937,3029810,2918862
Cary Medical Center,Total Operating Revenue,39329147,40188779,41786740,46334314,43225899
Cary Medical Center,Total Operating Expenses,38161557,40356687,42180875,45155845,44017422
Cary Medical Center,Depreciation and Amortization,1827521,1704559,1443711,1534166,1675599
Cary Medical Center,Interest,169729,195700,179921,163820,150614
Cary Medical Center,Other Operating Expenses,36164307,38456428,40557243,43457859,42191209
Cary Medical Center,Net Operating Income,1167590,-167908,-394135,1178469,-791523
Cary Medical Center,Total Non-operating Revenue,186756,381158,452503,131428,67233
Cary Medical Center,Total Investment Income,173073,367050,422584,114897,46591
Cary Medical Center,Interest and Dividends,173073,367050,422584,113708,17822
Cary Medical Center,Realized Gains/Losses on Sales of Securities,,,,1189,28769
Cary Medical Center,Permanently Impaired Security Writedowns,,,,,
Cary Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Cary Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Cary Medical Center,Other Non-Operating Revenues,,,,13683,14108
Cary Medical Center,Excess of Revenue over Expenses,1354346,213250,58368,1309897,-724290
Cary Medical Center,Extraordinary Gains/Losses,,,,,
Cary Medical Center,Total Surplus/Deficit,1354346,213250,58368,1309897,-724290
Cary Medical Center,Total Change in Unrestricted Net Assets,1342819,243744,205211,1447677,-833341
Cary Medical Center,Net Assets Released for Restrictions,,,31473,15199,4165
Cary Medical Center,Unrealized Gains/Losses on Investments,-43000,15295,142678,132419,-110311
Cary Medical Center,Minimum Pension Liability Adjustment,,,,,
Cary Medical Center,Transfers From/To Affiliates,,,,,
Cary Medical Center,Mergers,,,,,
Cary Medical Center,Consolidations with Support,,,,,
Cary Medical Center,Other Changes,,,,,
Central Maine Medical Center,Total Current Assets,58235788,67634318,74051303,51207849,67253231
Central Maine Medical Center,Cash and Investment,9929794,14576550,11338019,3176255,2969278
Central Maine Medical Center,Current Assets Whose Use is Limited,3141733,3451815,3966730,3951227,3952008
Central Maine Medical Center,Net Patient Accounts Receivable,16327167,17694740,21672017,27425518,32071969
Central Maine Medical Center,Due from Affiliates,91145,115018,115701,103187,159624
Central Maine Medical Center,Third Party Settlements Receivable,24736292,25465832,31173207,10615311,22127402
Central Maine Medical Center,Other Accounts Receivable,,,,,
Central Maine Medical Center,Inventory,1875424,2157556,2866931,2888826,2833123
Central Maine Medical Center,Other Current Assets,2134233,4172807,2918698,3047525,3139827
Central Maine Medical Center,Total Non-Current Assets,109504743,121447059,129841072,165084238,160510336
Central Maine Medical Center,Trustee Held Investments,5214535,14921008,13772656,9562221,9704066
Central Maine Medical Center,Board Designated and Undesignated Investments,,,,,
Central Maine Medical Center,Due From Affiliates,,,,,
Central Maine Medical Center,Investments in Affiliates,2104516,,,,
Central Maine Medical Center,Other Non-current Assets,2853248,5395512,6175314,37779299,27167322
Central Maine Medical Center,"Gross Property, Plant and Equipment",,192217083,203692580,222534525,242001859
Central Maine Medical Center,Accumulated Depreciation,92884639,102562041,112641423,124259141,136919298
Central Maine Medical Center,"Net Property, Plant and Equipment",,99332444,101130539,109893102,117742718
Central Maine Medical Center,Total Unrestricted Assets,167740531,189081377,203892375,216292087,227763567
Central Maine Medical Center,Total Current Liabilities,17134299,21244840,23914291,35531703,35242541
Central Maine Medical Center,Current Long Term Debt,,2153935,2718464,2816847,3140317
Central Maine Medical Center,Accounts Payable and Accrued Expenses,14979442,18526376,21097444,20629534,22940848
Central Maine Medical Center,Estimated Third Party Settlements,,,,,
Central Maine Medical Center,Due to Affiliates,,,,,
Central Maine Medical Center,Other Current Liabilities,922,,,11761852,8575840
Central Maine Medical Center,Total Non-current Liabilities,79571688,92290718,99385686,97772487,105370980
Central Maine Medical Center,Long Term Debt,72483869,84553682,89466017,89785694,98031578
Central Maine Medical Center,Estimated Third Party Settlements,,,,,
Central Maine Medical Center,Due to Affiliates,,,,,
Central Maine Medical Center,Self Insurance Fund,1650830,1373232,1633142,1590552,1617687
Central Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,5436989,4773861,6601187,4609781,3840067
Central Maine Medical Center,Other Non-Current Liabilities,,1589943,1685340,1786460,1881648
Central Maine Medical Center,Fund Balance Unrestricted,71034544,75545819,80592398,82987897,87150046
Central Maine Medical Center,Total Liabilities & Equity,167740531,189081377,203892375,216292087,227763567
Central Maine Medical Center,Total Restricted Assets,14622457,13862769,15147589,14806605,13323117
Central Maine Medical Center,Cash and Investments,14622457,13862769,14647090,14311240,12828504
Central Maine Medical Center,Receivables,,,,,
Central Maine Medical Center,Other Assets,,,500499,495365,494613
Central Maine Medical Center,Total Restricted Liabilities and Equity,14622457,3860769,15147589,14806605,13323117
Central Maine Medical Center,Total Restricted Fund Balance,14622457,3860769,15147589,14806605,13323117
Central Maine Medical Center,Total Liabilities,,,,,
Central Maine Medical Center,Temporarily Restricted Net Assets,2406677,2749381,3007425,1678602,520499
Central Maine Medical Center,Permanently Restricted Net Assets,12215780,1111388,12140164,13128003,12802618
Central Maine Medical Center,Total Gross Patient Service Revenue,,353675486,391254167,434315385,482248949
Central Maine Medical Center,Gross Inpatient Service Revenue,193982442,209785151,221089799,236252181,257740517
Central Maine Medical Center,Gross Outpatient Service Revenue,159693044,181469016,213225586,245996768,293602957
Central Maine Medical Center,Free Care,,,3911129,7078574,7838054
Central Maine Medical Center,Bad Debt,,,,,6741564
Central Maine Medical Center,Contractuals,163396579,173418491,188764689,218170687,257032782
Central Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,-9597183,-95443,,-86394,
Central Maine Medical Center,Net Patient Service Revenue,189223397,202752123,228376995,244437425,270827099
Central Maine Medical Center,Other Operating Revenue,5719889,5879471,7692483,8923714,9233920
Central Maine Medical Center,Total Operating Revenue,194943286,208631594,236069478,253361139,280061019
Central Maine Medical Center,Total Operating Expenses,180231553,202788433,233293950,252928177,276176439
Central Maine Medical Center,Depreciation and Amortization,10842108,11873415,12622403,13281682,14467997
Central Maine Medical Center,Interest,3780585,4389783,3882784,4957742,4240062
Central Maine Medical Center,Other Operating Expenses,165608860,186525235,216788763,234688753,257468380
Central Maine Medical Center,Net Operating Income,14711733,5843161,2775528,432962,3884580
Central Maine Medical Center,Total Non-operating Revenue,384713,139989,1007338,906411,483032
Central Maine Medical Center,Total Investment Income,530860,362935,549611,333674,24238
Central Maine Medical Center,Interest and Dividends,541857,294288,531778,342942,13507
Central Maine Medical Center,Realized Gains/Losses on Sales of Securities,-10997,68647,17833,-9268,10731
Central Maine Medical Center,Permanently Impaired Security Writedowns,,,,,
Central Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,-146147,269292,457727,252492,203241
Central Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Central Maine Medical Center,Other Non-Operating Revenues,,,,,-492238
Central Maine Medical Center,Excess of Revenue over Expenses,15096446,5983150,3782866,1339373,4367612
Central Maine Medical Center,Extraordinary Gains/Losses,,,,,
Central Maine Medical Center,Total Surplus/Deficit,15096446,5983150,3782866,1339373,4367612
Central Maine Medical Center,Total Change in Unrestricted Net Assets,14895899,4511275,5046579,2395500,4162149
Central Maine Medical Center,Net Assets Released for Restrictions,,,-200547,156091,1131469
Central Maine Medical Center,Unrealized Gains/Losses on Investments,,-304677,132244,217390,-233786
